PLACA;MARCA;MODELO;UNIDADE;PROPRIETARIO;RESPONSAVEL;GERENTE;CNPJ PROPRIETARIO;TIPO PROPRIETARIO;SEGURO STATUS
DJC-0I38;M.BENZ/L 1620;M.BENZ/L 1620;PRI PONTA GROSSA GARAGEM;JOAO MIGUEL DE CASTRO VERA;Rafael da Silva Nascimento;Márcio Asnal Ribeiro ;49.243.004/0001-90;Agente;Inativo
BDV-9F76;M.BENZ/ATEGO;M.BENZ/ATEGO 2426;PRI PONTA GROSSA GARAGEM;J R DE SOUZA ABRAHAO LOCADORA EIRELI ME;Andrés Alberto Cáceres;Andrés Alberto Cáceres;23.883.638/0001-13;Agente;Ativo
EEA-7J90;MERCEDES BENZ;AXOR 2041 LS;PRI PONTA GROSSA GARAGEM;J R DE SOUZA ABRAHAO LOCADORA EIRELI ME;Andrés Alberto Cáceres;Andrés Alberto Cáceres;23.883.638/0001-13;Agente;Ativo
CYB-1D22;VW;17.210 MOTOR CUMMINS;PRI PONTA GROSSA GARAGEM;JOAO PEDRO GARCIA SILVA TRANSPORTES;Rafael da Silva Nascimento;Márcio Asnal Ribeiro ;41.103.154/0001-96;Agente;Inativo
MEJ-3F31;SR/GUERRA;AG FG;EPC CURITIBA;J R DE SOUZA ABRAHAO LOCADORA EIRELI ME;Andrés Alberto Cáceres;Andrés Alberto Cáceres;23.883.638/0001-13;Agente;Ativo
FHL-9H16;VW;15190 CRM 4X2 4P;PRI PONTA GROSSA GARAGEM;JOAO PEDRO GARCIA SILVA TRANSPORTES;Rafael da Silva Nascimento;Márcio Asnal Ribeiro ;41.103.154/0001-96;Agente;Inativo
IZD-6B79;M.BENZ;AXOR 2041LS;EPC CURITIBA;J R DE SOUZA ABRAHAO LOCADORA EIRELI ME;Andrés Alberto Cáceres;Andrés Alberto Cáceres;23.883.638/0001-13;Agente;Ativo
AYA-7F47;M.BENZ;TRUCK;PRI PONTA GROSSA GARAGEM;TRANSPORTES W C M LTDA;Silvio Alves;Joel Schemuda;05.248.305/0001-30;Agente;Ativo
ATR-0133;M.BENZ;M.BENZ/L 1314;PRI PONTA GROSSA GARAGEM;J L VIEIRA TRANSPORTES LTDA;Silvio Alves;Joel Schemuda;43.745.004/0001-01;Agente;Inativo
AXW-6774;SCANIA;SCANIA / P360 / 4X2;PRI PONTA GROSSA GARAGEM;TRANSPORTES W C M LTDA;Silvio Alves;Joel Schemuda;05.248.305/0001-30;Agente;Inativo
