PLACA;MARCA;MODELO;UNIDADE;PROPRIETARIO;RESPONSAVEL;GERENTE;CNPJ PROPRIETARIO;TIPO PROPRIETARIO;SEGURO STATUS
RLF-9E44;M.BENZ;M.BENZ;PRI PONTA GROSSA GARAGEM;ABATTI TRANSPORTES E SERVICOS LTDA;Jean Carlos Machado / Eduardo Junior Lisboa;Alcides De Batisa;80.668.833/0001-64;Agente;Ativo
NAV-1H27;IVECO;IVECO/STRALIS 530S36T;PRI PONTA GROSSA GARAGEM;ALFREDO ALCIR COELHO;Jean Carlos Machado / Eduardo Junior Lisboa;Alcides De Batisa;27.651.497/0001-64;Agente;Ativo
MIU-1G30;IVECO;CURSOR 450E;EPC PONTA GROSSA;ALFREDO ALCIR COELHO;Jean Carlos Machado / Eduardo Junior Lisboa;Alcides De Batisa;27.651.497/0001-64;Agente;Ativo
MMH-6A83;SCANIA;G 400 A6X2;EPC PONTA GROSSA;TRANSPORTES CONSTANCI LTDA;Jean Carlos Machado / Eduardo Junior Lisboa;Alcides De Batisa;78.840.238/0001-12;Agente;Ativo
QJY-8B71;DAF;XF105;EPC PONTA GROSSA;BETANIN TRANSPORTES LTDA;Jean Carlos Machado / Eduardo Junior Lisboa;Alcides De Batisa;05.758.887/0001-03;Agente;Ativo
QJS-0908;SR/PALMEIRA S;SR/PALMEIRA;EPC PONTA GROSSA;TRANSPORTES CONSTANCI LTDA;Jean Carlos Machado / Eduardo Junior Lisboa;Alcides De Batisa;78.840.238/0001-12;Agente;Ativo
QJU-5H58;SR;PALMEIRA;EPC PONTA GROSSA;BETANIN TRANSPORTES LTDA;Jean Carlos Machado / Eduardo Junior Lisboa;Alcides De Batisa;05.758.887/0001-03;Agente;Ativo
SXX-0B57;SR;NIJU SJSRFR;EPC SAO PAULO;TRANSPORTES CONSTANCI LTDA;Jean Carlos Machado / Eduardo Junior Lisboa;Alcides De Batisa;78.840.238/0001-12;Agente;Ativo
QJY-7B28;SCANIA;R450 A6X2;EPC SAO PAULO;TRANSPORTES CONSTANCI LTDA;Jean Carlos Machado / Eduardo Junior Lisboa;Alcides De Batisa;78.840.238/0001-12;Agente;Ativo
MJB-0C88;SCANIA/R 380;SCANIA/R 38;EPC PONTA GROSSA;BETANIN TRANSPORTES LTDA;Jean Carlos Machado / Eduardo Junior Lisboa;Alcides De Batisa;05.758.887/0001-03;Agente;Ativo
OKD-9G38;SR/FACCHINI S;SR/FACCHINI;EPC PONTA GROSSA;BETANIN TRANSPORTES LTDA;Jean Carlos Machado / Eduardo Junior Lisboa;Alcides De Batisa;05.758.887/0001-03;Agente;Ativo
RLA-0F36;VOLKSWAGEN;24.280 CRM 6X2;PRI PONTA GROSSA GARAGEM;ABATTI TRANSPORTES E SERVICOS LTDA;Jean Carlos Machado / Eduardo Junior Lisboa;Alcides De Batisa;80.668.833/0001-64;Agente;Ativo
QJO-5H02;VW;19.360 CTC;EPC CURITIBA;RENASCER TRANSPORTES LTDA;Jean Carlos Machado / Eduardo Junior Lisboa;Alcides De Batisa;29.153.734/0001-92;Agente;Inativo
LZT-5I10;FORD;FORD /CARGO;PRI PONTA GROSSA GARAGEM;J. L. RIGO TRANSPORTES;Marcos Alexandre Alves;Ademir B. Queiroz;34.006.013/0001-90;Agente;Inativo
AZY-5J95;FORD;CARGO;PRI PONTA GROSSA GARAGEM;JPS LOGISTICA E DISTRIBUICAO LTDA;Marcos Alexandre Alves;Ademir B. Queiroz;10.636.141/0001-59;Agente;Ativo
BAR-7I87;M.BENZ;M.BENZ / L1218;PRI PONTA GROSSA GARAGEM;ROQUE IVANIR PEREIRA;Marcos Alexandre Alves;Ademir B. Queiroz;60.339.402/0001-47;Agente;Inativo
AXQ-3C38;VOLKSWAGEN;VW/24.280 CRM 6X2;PRI PONTA GROSSA GARAGEM;RODOPAULO TRANSPORTES LTDA;Marcos Alexandre Alves;Ademir B. Queiroz;49.934.918/0001-05;Agente;Ativo
CRH-3F01;M.BENZ;914 C;PRI PONTA GROSSA GARAGEM;LEANDRO PADILHA DE SOUZA;Marcos Alexandre Alves;Ademir B. Queiroz;52.759.276/0001-51;Agente;Inativo
SFM-5J83;IVECO;IVECO/TECTO;EPC CASCAVEL;JPS LOGISTICA E DISTRIBUICAO LTDA;Marcos Alexandre Alves;Ademir B. Queiroz;10.636.141/0001-59;Agente;Inativo
GLB-7A87;M.BENZ/L 1218;M.BENZ/L 12;EPC CASCAVEL;LEANDRO PADILHA DE SOUZA;Marcos Alexandre Alves;Ademir B. Queiroz;52.759.276/0001-51;Agente;Inativo
BCY-4C56;VW;VW/17.230 C;EPC CASCAVEL;JPS LOGISTICA E DISTRIBUICAO LTDA;Marcos Alexandre Alves;Ademir B. Queiroz;10.636.141/0001-59;Agente;Inativo
NZW-4D41;FORD;FORD/CARGO 2423;PRI PONTA GROSSA GARAGEM;VELOG CARGAS LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;42.697.107/0001-80;Agente;Inativo
AVR-5C96;M.BENZ;M.BENZ/ATEGO 2429CE;PRI PONTA GROSSA GARAGEM;DALLA CORTE E LIMA TRANSPORTES LTDA ME;Neri Moreira;Ademir B. Queiroz;26.615.507/0001-43;Agente;Ativo
AWS-5689;M.BENZ;M.BENZ/ACCELO 815;PRI PONTA GROSSA GARAGEM;DALLA CORTE E LIMA TRANSPORTES LTDA ME;Neri Moreira;Ademir B. Queiroz;26.615.507/0001-43;Agente;Ativo
IYC-8F13;M.BENZ;I/M.BENZ 515CDISPRINTERC;PRI PONTA GROSSA GARAGEM;DALLA CORTE E LIMA TRANSPORTES LTDA ME;Neri Moreira;Ademir B. Queiroz;26.615.507/0001-43;Agente;Inativo
TAL-6J87;M.BENZ;M.BENZ/ATEGO 2429CE;PRI PONTA GROSSA GARAGEM;DALLA CORTE E LIMA TRANSPORTES LTDA ME;Neri Moreira;Ademir B. Queiroz;26.615.507/0001-43;Agente;Inativo
AWO-6B05;M.BENZ;M.BENZ/ATEGO2426;PRI PONTA GROSSA GARAGEM;DALLA CORTE E LIMA TRANSPORTES LTDA ME;Neri Moreira;Ademir B. Queiroz;26.615.507/0001-43;Agente;Ativo
COR-7B99;M.BENZ;ATEGO 2430;PRI PONTA GROSSA GARAGEM;DALLA CORTE E LIMA TRANSPORTES LTDA ME;Neri Moreira;Ademir B. Queiroz;26.615.507/0001-43;Agente;Inativo
PYO-7B78;FIAT;FIORINO HD WK E;PRI PONTA GROSSA GARAGEM;DALLA CORTE E LIMA TRANSPORTES LTDA ME;Neri Moreira;Ademir B. Queiroz;26.615.507/0001-43;Agente;Inativo
QJX-1I14;M.BENZ;ATEGO 2426;PRI PONTA GROSSA GARAGEM;DALLA CORTE E LIMA TRANSPORTES LTDA ME;Neri Moreira;Ademir B. Queiroz;26.615.507/0001-43;Agente;Inativo
QXJ-8J38;VOLVO;FH 460 6X2T;EPC PONTA GROSSA;SUELI DE FATIMA PESIN- ME;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;20.999.404/0001-48;Agente;Inativo
SFN-8I84;SR;GUERRASP SR;EPC PONTA GROSSA;SUELI DE FATIMA PESIN- ME;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;20.999.404/0001-48;Agente;Inativo
AZT-7C03;M BENZ;ACCELO 815;EPC FRANCISCO BELTRAO;DALLA CORTE E LIMA TRANSPORTES LTDA ME;Neri Moreira;Ademir B. Queiroz;26.615.507/0001-43;Agente;Inativo
UAW-9H18;VW/30.320 CRM;VW/30.320 C;EPC FRANCISCO BELTRAO;ABC LOGISTICA E TRANSPORTE LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;33.833.086/0001-92;Agente;Inativo
UAV-3E52;IVECO;TECTOR 31-3;EPC SAO PAULO;ABC LOGISTICA E TRANSPORTE LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;33.833.086/0001-92;Agente;Inativo
UBZ-0C98;M.BENZ;ATEGO/2433;EPC GUARAPUAVA;DALLA CORTE E LIMA TRANSPORTES LTDA ME;Neri Moreira;Ademir B. Queiroz;26.615.507/0001-43;Agente;Inativo
AHQ-3D38;VW;24280 CRM;EPC SAO PAULO;ABC LOGISTICA E TRANSPORTE LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;33.833.086/0001-92;Agente;Inativo
TBV-6D35;VOLKWAGNE;DELIVERY;CTL GOIANIA;ABC LOGISTICA E TRANSPORTE LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;33.833.086/0001-92;Agente;Inativo
SED-4G18;VW;24280;CTL GOIANIA;ABC LOGISTICA E TRANSPORTE LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;33.833.086/0001-92;Agente;Inativo
TAZ-8F45;VW;26320 CRM;CTL GOIANIA;ABC LOGISTICA E TRANSPORTE LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;33.833.086/0001-92;Agente;Inativo
SFG-6I55;VW;26320 CRM;CTL GOIANIA;ABC LOGISTICA E TRANSPORTE LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;33.833.086/0001-92;Agente;Inativo
SEJ-1G84;SCANIA;P320 B8X2;CTL GOIANIA;ABC LOGISTICA E TRANSPORTE LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;33.833.086/0001-92;Agente;Inativo
SEQ-4F90;VOLKSWAGEN;26.320 CRM;CTL GOIANIA;ABC LOGISTICA E TRANSPORTE LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;33.833.086/0001-92;Agente;Inativo
TAP-5C68;VOLKSWAGEN;VW/30.320 C;CTL GOIANIA;ABC LOGISTICA E TRANSPORTE LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;33.833.086/0001-92;Agente;Inativo
SFJ-4A37;VOLKSWAGEN;VW/30.320 C;CTL GOIANIA;ABC LOGISTICA E TRANSPORTE LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;33.833.086/0001-92;Agente;Inativo
TBF-4G50;DAF;CF FAC 310;CTL GOIANIA;ABC LOGISTICA E TRANSPORTE LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;33.833.086/0001-92;Agente;Inativo
TBY-8F43;VOLVO;FH 460 6X2T;CTL GOIANIA;ABC LOGISTICA E TRANSPORTE LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;33.833.086/0001-92;Agente;Inativo
SED-4G31;VOLKSWAGEN;24.280 CRM;CTL GOIANIA;ABC LOGISTICA E TRANSPORTE LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;33.833.086/0001-92;Agente;Inativo
UAS-1C73;VIDEIRA;CF 4EEAG;CTL GOIANIA;ABC LOGISTICA E TRANSPORTE LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;33.833.086/0001-92;Agente;Inativo
MDB-1A63;FACCHINI;SR/FACCHINI;CTL GOIANIA;ABC LOGISTICA E TRANSPORTE LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;33.833.086/0001-92;Agente;Inativo
AXD-5C23;FORD;CARGO 2429 L;PRI PONTA GROSSA GARAGEM;GRVS TRANSPORTES LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;59.912.108/0001-01;Agente;Ativo
UBN-7A87;VW;26320;CTL GOIANIA;ABC LOGISTICA E TRANSPORTE LTDA;Marcos Vinicius / Balestrin Koslovski;Ademir B. Queiroz;33.833.086/0001-92;Agente;Inativo
